Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
77031;BERNAY VILBERT;77540;;BERNAY VILBERT;48.675542988, 2.928447369;77
77068;CESSOY EN MONTOIS;77520;;CESSOY EN MONTOIS;48.507756887, 3.138903532;77
77111;CHESSY;77700;;CHESSY;48.872186167, 2.770267522;77
77205;GESVRES LE CHAPITRE;77165;;GESVRES LE CHAPITRE;49.035208325, 2.843162472;77
77244;LARCHANT;77760;;LARCHANT;48.283228852, 2.59909576;77
77277;MARLES EN BRIE;77610;;MARLES EN BRIE;48.724511279, 2.889079935;77
77325;MOUY SUR SEINE;77480;;MOUY SUR SEINE;48.432318832, 3.246776737;77
77343;OCQUERRE;77440;;OCQUERRE;49.033168779, 3.060016198;77
77361;PIERRE LEVEE;77580;;PIERRE LEVEE;48.897099909, 3.036165716;77
77395;RUMONT;77760;;RUMONT;48.270235214, 2.495579468;77
77415;ST JEAN LES DEUX JUMEAUX;77660;;ST JEAN LES DEUX JUMEAUX;48.938696346, 3.027448294;77
77437;ST SOUPPLETS;77165;;ST SOUPPLETS;49.036998402, 2.802654488;77
77465;THOURY FEROTTES;77940;;THOURY FEROTTES;48.298223552, 2.939883742;77
78113;BRUEIL EN VEXIN;78440;;BRUEIL EN VEXIN;49.026006636, 1.812671988;78
78367;MAREIL MARLY;78750;;MAREIL MARLY;48.880545569, 2.076644214;78
78372;MARLY LE ROI;78160;;MARLY LE ROI;48.865003641, 2.091451233;78
78437;MOUSSEAUX SUR SEINE;78270;;MOUSSEAUX SUR SEINE;49.05118376, 1.649935948;78
91225;ETIOLLES;91450;;ETIOLLES;48.650022012, 2.483650956;91
91275;GOMETZ LE CHATEL;91940;;GOMETZ LE CHATEL;48.675006021, 2.1426491;91
91345;LONGJUMEAU;91160;;LONGJUMEAU;48.689811714, 2.30290407;91
91508;PUISELET LE MARAIS;91150;;PUISELET LE MARAIS;48.399423569, 2.263725871;91
91519;RICHARVILLE;91410;;RICHARVILLE;48.468244596, 1.998678079;91
92026;COURBEVOIE;92400;;COURBEVOIE;48.898414495, 2.255695763;92
95002;ABLEIGES;95450;;ABLEIGES;49.085390681, 1.974876453;95
95024;ARTHIES;95420;;ARTHIES;49.095189656, 1.796970834;95
95028;ATTAINVILLE;95570;;ATTAINVILLE;49.06037642, 2.350739674;95
95139;LA CHAPELLE EN VEXIN;95420;;LA CHAPELLE EN VEXIN;49.184136588, 1.728270643;95
95142;CHARS;95750;;CHARS;49.157814702, 1.930801042;95
95295;GUIRY EN VEXIN;95450;;GUIRY EN VEXIN;49.115481312, 1.856715992;95
77139;COURTRY;77181;;COURTRY;48.916127782, 2.602399915;77
77270;MAISONCELLES EN BRIE;77580;;MAISONCELLES EN BRIE;48.859059651, 2.993353238;77
77348;ORMESSON;77167;;ORMESSON;48.243889164, 2.652619549;77
77394;RUBELLES;77950;;RUBELLES;48.564155863, 2.679925329;77
77396;RUPEREUX;77560;;RUPEREUX;48.642226292, 3.327213071;77
77400;ST AUGUSTIN;77515;;ST AUGUSTIN;48.788799103, 3.028803654;77
77426;ST MERY;77720;;ST MERY;48.570844708, 2.837600788;77
77463;THOMERY;77810;;THOMERY;48.404341685, 2.781278772;77
78015;ANDRESY;78570;DENOUVAL;ANDRESY;48.981584282, 2.04971852;78
78087;BONNELLES;78830;;BONNELLES;48.618957859, 2.029869969;78
78168;COIGNIERES;78310;;COIGNIERES;48.749890255, 1.913931691;78
78217;EPONE;78680;;EPONE;48.947976521, 1.813365614;78
78329;LAINVILLE EN VEXIN;78440;;LAINVILLE EN VEXIN;49.062492025, 1.817188746;78
78460;OINVILLE SUR MONTCIENT;78250;;OINVILLE SUR MONTCIENT;49.02559573, 1.846266276;78
78501;PORCHEVILLE;78440;;PORCHEVILLE;48.975962855, 1.768270691;78
78567;ST MARTIN LA GARENNE;78520;;ST MARTIN LA GARENNE;49.03598752, 1.676926764;78
91045;BALLANCOURT SUR ESSONNE;91610;;BALLANCOURT SUR ESSONNE;48.522122216, 2.388041851;91
91111;BRIIS SOUS FORGES;91640;;BRIIS SOUS FORGES;48.626962747, 2.130529622;91
91274;GOMETZ LA VILLE;91400;;GOMETZ LA VILLE;48.67283215, 2.10976277;91
91405;MILLY LA FORET;91490;;MILLY LA FORET;48.403011554, 2.464285312;91
93030;DUGNY;93440;;DUGNY;48.950891023, 2.423284783;93
95094;BOUQUEVAL;95720;;BOUQUEVAL;49.022271988, 2.429630358;95
95127;CERGY;95800;;CERGY;49.039967587, 2.051139021;95
75107;PARIS 07;75007;;PARIS;48.856165776, 2.312154016;75
75117;PARIS 17;75017;;PARIS;48.887331019, 2.306778316;75
